Library Name	Title	RBID	Issue Date	Remaining Circs	Active Issues
8080 Test Library	$10 DINNERS (OR LESS!)	RBZ0000001	02/01/2012	49500	1
8080 Test Library	(inside) interior design review	RBZ0002688	09/01/2020	Unlimited	7
8080 Test Library	.net CSS Design Essentials	RBZ0003796	09/01/2011	Unlimited	1
8080 Test Library	0024 Horloges	RBZ0002360	12/01/2019	Unlimited	3
8080 Test Library	01net	RBZ0001638	09/23/2020	Unlimited	63
8080 Test Library	10 Minute Pilates	RBZ0007447	05/01/2014	Unlimited	1
8080 Test Library	10 Minute Yoga Calm	RBZ0008908	07/01/2016	Unlimited	1
8080 Test Library	10 Week Fat Burn: Lose a Stone	RBZ0008156	08/01/2015	Unlimited	1
8080 Test Library	100 All-Time Greatest Comics	RBZ0007658	06/01/2016	Unlimited	1
8080 Test Library	The 100 Best Games to Play Right Now	RBZ0008983	09/01/2016	Unlimited	1
8080 Test Library	100 Biker	RBZ0000007	01/23/2020	Unlimited	15
8080 Test Library	100 Great Guitars	RBZ0007773	01/01/2015	Unlimited	1
8080 Test Library	100 Greatest Comedy Movies by Radio Times	RBZ0007810	01/01/2015	Unlimited	1
8080 Test Library	The 100 Greatest Graphic Novels Of All Time	RBZ0008815	07/01/2016	Unlimited	1
8080 Test Library	100 greatest moments from 100 years of the Tour De France	RBZ0006004	03/01/2013	Unlimited	1
8080 Test Library	100 Greatest Sci-Fi Characters	RBZ0008071	06/01/2015	Unlimited	1
8080 Test Library	The 100 Greatest Sci-Fi Characters Of All Time	RBZ0009242	03/01/2017	Unlimited	1
8080 Test Library	100 Greatest Thriller Movies by Radio Times	RBZ0007811	01/01/2015	Unlimited	1
8080 Test Library	The 100 Greatest TV Shows of All Time	RBZ0008020	05/01/2015	Unlimited	1
8080 Test Library	101 Home Sewing Ideas	RBZ0008834	06/01/2016	Unlimited	1
8080 Test Library	101 Quick & Easy Crochet Makes	RBZ0007626	06/01/2016	Unlimited	1
8080 Test Library	11 Freunde	RBZ0009106	10/01/2020	Unlimited	21
8080 Test Library	1116 Design Tips	RBZ0007608	09/01/2014	Unlimited	1
8080 Test Library	15 Minute Fitness: Busy Girls Guide	RBZ0008914	07/01/2016	Unlimited	1
8080 Test Library	150 Thrifty Knits	RBZ0007697	05/01/2016	Unlimited	1
8080 Test Library	200 Scrapbooking Ideas	RBZ0009276	03/01/2017	Unlimited	1
8080 Test Library	The 2011 Android App Guide	RBZ0003476	06/01/2011	Unlimited	1
8080 Test Library	The 2012 iPad Handbook	RBZ0006991	01/01/2012	Unlimited	1
8080 Test Library	The 2014 Tour de France in Britain	RBZ0007312	04/01/2014	Unlimited	1
8080 Test Library	220 Triathlon	RBZ0006019	11/01/2020	Unlimited	23
8080 Test Library	220 Triathlon presents the Beginner's Guide to Triathlon	RBZ0008333	10/01/2014	Unlimited	1
8080 Test Library	25 Beautiful Homes	RBZ0000011	11/01/2020	Unlimited	22
8080 Test Library	25 Years of the Hubble Space Telescope - from BBC Sky at Night Magazine	RBZ0007978	04/01/2015	Unlimited	1
8080 Test Library	273 Papercraft & Card Ideas	RBZ0008728	06/01/2016	Unlimited	1
8080 Test Library	2nd ????	RBZ0006985	09/16/2020	Unlimited	21
8080 Test Library	The 3D Art & Design Annual Volume 1	RBZ0008248	01/01/2018	Unlimited	1
8080 Test Library	The 3D Art & Design Book	RBZ0004876	04/01/2015	Unlimited	1
8080 Test Library	The 3D Art & Design Book	RBZ0004687	04/15/2012	Unlimited	1
8080 Test Library	3D Art & Design Tips, Tricks & Fixes	RBZ0006783	01/01/2016	Unlimited	1
8080 Test Library	3D Artist	RBZ0004471	02/01/2020	Unlimited	11
8080 Test Library	3D Make And Print 2nd Edition	RBZ0008506	12/01/2016	Unlimited	1
8080 Test Library	3D World	RBZ0000014	11/01/2020	Unlimited	21
8080 Test Library	4 Wheel & Off Road	RBZ0000015	03/01/2020	Unlimited	12
8080 Test Library	400 Calories or Less: Easy Italian	RBZ0000016	09/01/2011	Unlimited	1
8080 Test Library	47 Creative Photography & Photoshop Projects	RBZ0007596	08/01/2014	Unlimited	1
8080 Test Library	4x4 magazine	RBZ0001787	04/10/2020	Unlimited	8
8080 Test Library	4x4 Magazine Australia	RBZ0007748	10/01/2020	Unlimited	23
8080 Test Library	50 Baby Knits	RBZ0008729	06/01/2016	Unlimited	1
8080 Test Library	50 Dream Rooms	RBZ0006495	09/01/2013	Unlimited	1
8080 Test Library	50 Great British Locomotives	RBZ0000019	10/21/2008	Unlimited	1
8080 Test Library	50 Greatest Mysteries in the Universe	RBZ0004669	10/17/2018	Unlimited	1
8080 Test Library	The 50 Greatest SciFi Icons	RBZ0006686	12/02/2015	Unlimited	1
8080 Test Library	50 Photo Projects Vol 2	RBZ0005847	02/01/2013	Unlimited	1
8080 Test Library	50 Things No Man Should Be Without	RBZ0006191	05/01/2013	Unlimited	1
8080 Test Library	50+ Decorating Ideas	RBZ0006926	02/01/2014	Unlimited	1
8080 Test Library	500 Calorie Diet Complete Meal Planner	RBZ0007308	04/01/2014	Unlimited	1
